0,1.798924e-07
1,5.188595e-03
2,1.070141e-02
3,1.656939e-02
4,2.282720e-02
5,2.951405e-02
6,3.667445e-02
7,4.435909e-02
8,5.262590e-02
9,6.154134e-02
10,7.118198e-02
11,8.163637e-02
12,9.300734e-02
13,1.054148e-01
14,1.189993e-01
15,1.339259e-01
16,1.503898e-01
17,1.686224e-01
18,1.888992e-01
19,2.115493e-01
20,2.369671e-01
21,2.656274e-01
22,2.981045e-01
23,3.351004e-01
24,3.774870e-01
25,4.263417e-01
26,4.825862e-01
27,5.442679e-01
28,6.030451e-01
29,6.523237e-01
30,6.927741e-01
31,7.269819e-01
32,7.568695e-01
33,7.684083e-01
34,7.804067e-01
35,7.929302e-01
36,8.060535e-01
37,8.198619e-01
38,8.344539e-01
39,8.499439e-01
40,8.664648e-01
41,8.841726e-01
42,9.032503e-01
43,9.239129e-01
44,9.464117e-01
45,9.710365e-01
46,9.981131e-01
47,1.027988e+00
48,1.060997e+00
49,1.097397e+00
50,1.137286e+00
51,1.180541e+00
52,1.226847e+00
53,1.275778e+00
54,1.326862e+00
55,1.379598e+00
56,1.433459e+00
57,1.487908e+00
58,1.542416e+00
59,1.596490e+00
60,1.649677e+00
61,1.701569e+00
